HORA;DIA;SALA;ACTIVIDAD;FOTO1;AFINIDAD;URL;;;;
13:20;18;SonarDome by Red BULL Music Academy;NV(RU);imgs/artist/NV_files.png;;http://sonar.es/es/2015/prg/ar/nv_537;;;;
13:25;18;SonarDome by Red BULL Music Academy;NV(RU);imgs/artist/NV_files.png;;http://sonar.es/es/2015/prg/ar/nv_537;;;;
13:30;18;SonarDome by Red BULL Music Academy;NV(RU);imgs/artist/NV_files.png;;http://sonar.es/es/2015/prg/ar/nv_537;;;;
13:35;18;SonarDome by Red BULL Music Academy;NV(RU);imgs/artist/NV_files.png;;http://sonar.es/es/2015/prg/ar/nv_537;;;;
13:40;18;SonarDome by Red BULL Music Academy;NV(RU);imgs/artist/NV_files.png;;http://sonar.es/es/2015/prg/ar/nv_537;;;;
13:45;18;SonarDome by Red BULL Music Academy;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es/2015;;;;
13:50;18;SonarDome by Red BULL Music Academy;Oldge Gods (ES);imgs/artist/oldge_gods_file.png;1;http://sonar.es/es/2015/prg/ar/_533;;;;
13:55;18;SonarDome by Red BULL Music Academy;Oldge Gods (ES);imgs/artist/oldge_gods_file.png;1;http://sonar.es/es/2015/prg/ar/_533;;;;
14:00;18;SonarDome by Red BULL Music Academy;Oldge Gods (ES);imgs/artist/oldge_gods_file.png;1;http://sonar.es/es/2015/prg/ar/_533;;;;
14:05;18;SonarDome by Red BULL Music Academy;Oldge Gods (ES);imgs/artist/oldge_gods_file.png;1;http://sonar.es/es/2015/prg/ar/_533;;;;
14:10;18;SonarDome by Red BULL Music Academy;Oldge Gods (ES);imgs/artist/oldge_gods_file.png;1;http://sonar.es/es/2015/prg/ar/_533;;;;
14:15;18;SonarDome by Red BULL Music Academy;Oldge Gods (ES);imgs/artist/oldge_gods_file.png;1;http://sonar.es/es/2015/prg/ar/_533;;;;
14:20;18;SonarDome by Red BULL Music Academy;Oldge Gods (ES);imgs/artist/oldge_gods_file.png;1;http://sonar.es/es/2015/prg/ar/_533;;;;
14:25;18;SonarDome by Red BULL Music Academy;Oldge Gods (ES);imgs/artist/oldge_gods_file.png;1;http://sonar.es/es/2015/prg/ar/_533;;;;
14:30;18;SonarDome by Red BULL Music Academy;Oldge Gods (ES);imgs/artist/oldge_gods_file.png;1;http://sonar.es/es/2015/prg/ar/_533;;;;
14:35;18;SonarDome by Red BULL Music Academy;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es/2015;;;;
14:40;18;SonarDome by Red BULL Music Academy;Courtesy (DK);imgs/artist/courtesy_file.png;;http://sonar.es/es/2015/prg/ar/courtesy_519;;;;
14:45;18;SonarDome by Red BULL Music Academy;Courtesy (DK);imgs/artist/courtesy_file.png;;http://sonar.es/es/2015/prg/ar/courtesy_519;;;;
14:50;18;SonarDome by Red BULL Music Academy;Courtesy (DK);imgs/artist/courtesy_file.png;;http://sonar.es/es/2015/prg/ar/courtesy_519;;;;
14:55;18;SonarDome by Red BULL Music Academy;Courtesy (DK);imgs/artist/courtesy_file.png;;http://sonar.es/es/2015/prg/ar/courtesy_519;;;;
